aluno_id,nota,frequencia,passou
1,7.5,56,0
2,8.2,70,0
3,4.6,61,0
4,7.7,89,1
5,3.6,82,0
6,3.2,60,0
7,4.5,87,0
8,7.2,90,1
9,4.4,96,0
10,7.9,81,1
11,4.5,92,0
12,4.9,55,0
13,8.3,65,0
14,7.9,76,1
15,4.9,68,0
16,9.7,76,1
17,3.7,79,0
18,3.7,77,0
19,7.2,57,0
20,8.1,89,1
21,3.9,79,0
22,3.6,73,0
23,8.8,94,1
24,9.2,78,1
25,7.0,100,1
26,3.5,97,0
27,4.6,73,0
28,9.9,69,0
29,9.1,79,1
30,4.9,95,0
31,8.8,65,0
32,5.6,68,0
33,7.7,99,1
34,9.6,96,1
35,3.5,95,0
36,4.2,70,0
37,4.1,79,0
38,4.9,95,0
39,7.8,69,0
40,7.8,58,0
41,4.6,57,0
42,8.6,80,1
43,4.9,68,0
44,9.4,91,1
45,9.1,75,1
46,4.5,86,0
47,5.8,96,0
48,6.2,71,0
49,4.0,90,0
50,6.8,92,1
51,6.0,92,1
52,5.8,69,0
53,10.0,63,0
54,6.6,60,0
55,8.3,62,0
56,4.1,65,0
57,8.5,82,1
58,7.2,79,1
59,5.7,84,0
60,6.7,90,1
61,9.0,55,0
62,7.8,62,0
63,7.8,89,1
64,8.3,96,1
65,5.4,73,0
66,6.0,84,1
67,3.0,71,0
68,9.8,66,0
69,6.6,61,0
70,9.1,74,0
71,8.9,87,1
72,7.3,64,0
73,5.6,65,0
74,6.8,88,1
75,9.4,93,1
76,5.3,56,0
77,3.8,78,0
78,9.2,74,0
79,4.7,70,0
80,9.1,60,0
81,3.6,86,0
82,8.7,89,1
83,8.4,63,0
84,7.6,90,1
85,4.2,88,0
86,9.1,82,1
87,9.8,89,1
88,8.3,99,1
89,4.4,74,0
90,5.8,97,0
91,7.5,83,1
92,9.3,83,1
93,3.8,69,0
94,3.4,56,0
95,7.1,69,0
96,7.1,55,0
97,3.5,95,0
98,3.4,59,0
99,9.3,76,1
100,3.5,70,0
